particle_id,radius_km,mass_kg,mass_earth,mass_solar
0,19.550740852706582,3.1302445400208292e+16,5.2400425933875244e-09,1.5738413510954835e-14
1,19.217530986961933,2.972907381588902e+16,4.976659525015373e-09,1.4947345200354473e-14
2,18.999719617143338,2.8729640087844304e+16,4.809353896421016e-09,1.4444844482354395e-14
3,18.95751792266511,2.8538624356253544e+16,4.77737778219909e-09,1.4348804555363487e-14
4,18.813577499055384,2.789348444222592e+16,4.669381087852116e-09,1.4024437605447137e-14
5,18.773244246357336,2.7714471473297236e+16,4.6394142411740986e-09,1.3934432492657944e-14
6,18.511226346035443,2.657016080761903e+16,4.447856151971856e-09,1.3359089761085932e-14
7,18.50976872978062,2.6563884716339364e+16,4.446805531638366e-09,1.3355934233825074e-14
8,18.38011334042844,2.6009569540921292e+16,4.354012936931613e-09,1.307723263928227e-14
9,18.361775293911364,2.593179706381418e+16,4.340993791384862e-09,1.303812977083753e-14
10,18.253861421766654,2.5477268074383468e+16,4.264905446397909e-09,1.28095992168531e-14
11,18.22439566536462,2.5354089344736916e+16,4.244285274980151e-09,1.2747666746142085e-14
12,18.15443219488159,2.5063205798651016e+16,4.1955912463917145e-09,1.2601414736968313e-14
13,18.037451215272235,2.4581824729273956e+16,4.115007851869782e-09,1.2359383348387042e-14
14,17.963856799774938,2.4282162574487548e+16,4.064844280473644e-09,1.2208717582651664e-14
15,17.963629521305265,2.4281240933385396e+16,4.064689997363512e-09,1.2208254194932625e-14
16,17.911704911352324,2.4071291196154548e+16,4.029544322592913e-09,1.210269452574993e-14
17,17.79189081952249,2.3591465705666444e+16,3.9492213326346266e-09,1.1861445259571247e-14
18,17.64026240614788,2.2993428497840896e+16,3.849109651218977e-09,1.1560760864107605e-14
19,17.395697458682296,2.2050281952692332e+16,3.6912265208373525e-09,1.108656052163603e-14
20,17.35898234989234,2.1910959395485344e+16,3.6679038658610283e-09,1.101651116962238e-14
21,17.35190829661151,2.188418314759537e+16,3.663421510644345e-09,1.1003048462278709e-14
22,17.33663687715406,2.1826453158047256e+16,3.6537574859881143e-09,1.0974022664585432e-14
23,17.24941343298035,2.14986705074989e+16,3.5988865317132315e-09,1.0809218323260312e-14
24,17.19256796670303,2.128682348913143e+16,3.5634232512782694e-09,1.0702704728763065e-14
25,17.13012372143836,2.1055720559430988e+16,3.5247365231455555e-09,1.0586509542581395e-14
26,17.128231643931034,2.1048744312955172e+16,3.5235686965362325e-09,1.0583001987488271e-14
27,16.98007600707209,2.050725345734643e+16,3.43292289838716e-09,1.0310748274111796e-14
28,16.95501313219862,2.0416580281722396e+16,3.417744170454789e-09,1.0265159122399291e-14
29,16.93647385003416,2.0349680595922708e+16,3.406545134769472e-09,1.0231522935021372e-14
30,16.872271301932606,2.011913291227106e+16,3.3679513550600625e-09,1.011560691846382e-14
31,16.860554599412108,2.007724769780362e+16,3.360939752450859e-09,1.0094547642843162e-14
32,16.823404001299714,1.9944825098367484e+16,3.338772153322395e-09,1.0027967489073208e-14
33,16.81873945560754,1.9928239675691084e+16,3.3359957465547278e-09,1.0019628580179739e-14
34,16.702899600402002,1.951929919942654e+16,3.267538937944748e-09,9.8140192664494e-15
35,16.547757810070266,1.8980431321788144e+16,3.177332227416799e-09,9.543084348183007e-15
36,16.471388176423652,1.8718852230245696e+16,3.13354377690766e-09,9.411566191825561e-15
37,16.46046726131983,1.8681643802405636e+16,3.1273150703570336e-09,9.3928583363864e-15
38,16.4074823896799,1.8501819923462144e+16,3.0972124769997177e-09,9.302445509855674e-15
39,16.352692997241817,1.8317089171325156e+16,3.066288470995385e-09,9.209565578970073e-15
40,16.2832116271834,1.808459599395175e+16,3.027369014814478e-09,9.092671396512556e-15
41,16.26867233294314,1.8036195980241748e+16,3.0192668320578787e-09,9.068336574744961e-15
42,16.04677116403657,1.7308187346774586e+16,2.897397879043224e-09,8.70230443998481e-15
43,15.999877103374105,1.7156889324517452e+16,2.872070526154769e-09,8.626233998611032e-15
44,15.979962688532158,1.7092905522038122e+16,2.8613596105699964e-09,8.59406387488593e-15
45,15.978644556125806,1.7088676065180896e+16,2.8606515977040557e-09,8.591937365595849e-15
46,15.885917687632444,1.6792893476906496e+16,2.8111374673821495e-09,8.443222189382426e-15
47,15.866028507287501,1.672989826877182e+16,2.800592042908609e-09,8.411549116491272e-15
48,15.856198253761278,1.6698821064977194e+16,2.795389705855219e-09,8.395923951178124e-15
49,15.855220852126632,1.6695733228532872e+16,2.7948728007290286e-09,8.394371431999715e-15
50,15.80162030206836,1.6526978990505354e+16,2.766623269940838e-09,8.309524259651145e-15
51,15.74705968178149,1.6356373898083476e+16,2.7380639053445653e-09,8.223746504677653e-15
52,15.742006303860023,1.6340632213254636e+16,2.7354287406492777e-09,8.215831814881763e-15
53,15.726797429337012,1.6293316275589932e+16,2.7275080326809643e-09,8.192042050756156e-15
54,15.586809191106786,1.5862084756160144e+16,2.6553196940213823e-09,7.975225125274091e-15
55,15.585857170346234,1.5859178431046992e+16,2.6548331739687657e-09,7.973763867348607e-15
56,15.538256651765588,1.57143159612939e+16,2.630583135290175e-09,7.90092912801616e-15
57,15.53691235933775,1.5710237741539244e+16,2.6299004395791413e-09,7.898878658537922e-15
58,15.437168215996323,1.5409605450725744e+16,2.579574467001934e-09,7.747725122541753e-15
59,15.347385709888762,1.514229954269147e+16,2.5348273449910004e-09,7.613327606284551e-15
60,15.304092897102706,1.5014517795006684e+16,2.5134366264076746e-09,7.549080805163951e-15
61,15.254607038517952,1.4869339694417246e+16,2.489133750993644e-09,7.476087371245322e-15
62,15.238754200579733,1.4823030467706756e+16,2.481381566864662e-09,7.452803766721012e-15
63,15.204766275444836,1.4724069381988316e+16,2.464815439278699e-09,7.403047574557206e-15
64,15.16296576046564,1.4602965937324024e+16,2.4445426714443173e-09,7.342158526901045e-15
65,15.142482065504334,1.4543864281209444e+16,2.4346490292249753e-09,7.31244307524156e-15
66,14.981876536963664,1.408598594495448e+16,2.3580000021636757e-09,7.082228518469562e-15
67,14.945552133232798,1.3983777356923802e+16,2.3408902413177326e-09,7.030839529455082e-15
68,14.8001691006407,1.3579652036781878e+16,2.2732394918783306e-09,6.827651206072581e-15
69,14.798499334167344,1.357505635491383e+16,2.2724701727907534e-09,6.8253405641824866e-15
70,14.778834182143164,1.3521010140254614e+16,2.263422813608273e-09,6.798166914835496e-15
71,14.567335445756868,1.2948783574747668e+16,2.1676318446284405e-09,6.5104597343018665e-15
72,14.560294942247065,1.293001791184799e+16,2.16449046472568e-09,6.501024632387421e-15
73,14.557130614611072,1.292158966462335e+16,2.1630795725771576e-09,6.496787032471568e-15
74,14.524080819056662,1.2833779695422924e+16,2.1483801466105456e-09,6.452637459235628e-15
75,14.503814013040984,1.2780130114256784e+16,2.1393991840424866e-09,6.425663231430517e-15
76,14.49522633357095,1.2757442284008886e+16,2.1356012316675025e-09,6.414256120914309e-15
77,14.457048000315375,1.2656903770578098e+16,2.1187710420156206e-09,6.363706821077821e-15
78,14.44803876971432,1.2633256220986964e+16,2.1148124322168485e-09,6.351817177657706e-15
79,14.436994456834517,1.260430716952923e+16,2.10996634876435e-09,6.337262016335112e-15
80,14.407772992678717,1.2527926039750524e+16,2.0971801153485795e-09,6.298858697056958e-15
81,14.400581502910919,1.2509175850582328e+16,2.0940413257550107e-09,6.28943137510927e-15
82,14.382764594101202,1.2462802887702464e+16,2.086278472164331e-09,6.266115724967553e-15
83,14.369048445937619,1.2427181359689706e+16,2.0803154133156713e-09,6.248205739642472e-15
84,14.344164454118342,1.2362729772977736e+16,2.0695261904525945e-09,6.215800420820212e-15
85,14.283987049772028,1.220778726644262e+16,2.0435887493552665e-09,6.137897585846902e-15
86,14.281992097028214,1.2202673031023144e+16,2.042732624183957e-09,6.135326222785806e-15
87,14.20617083303643,1.2009355692555334e+16,2.0103712199977877e-09,6.0381290813885596e-15
88,14.153402790497552,1.1876027880543206e+16,1.988052087901416e-09,5.9710937999231774e-15
89,14.147453757949775,1.1861058791075774e+16,1.9855462559962493e-09,5.963567559819286e-15
90,14.145833378543712,1.1856983736755364e+16,1.9848640901802467e-09,5.9615186818752716e-15
91,14.139881792287103,1.1842024241546362e+16,1.9823598643579973e-09,5.953997265624742e-15
92,14.041037912857796,1.159541362954154e+16,1.9410771436515174e-09,5.8300050427073694e-15
93,13.947729866554278,1.1365778601314382e+16,1.9026361428460006e-09,5.714547896001037e-15
94,13.934189247682713,1.1332708635426502e+16,1.8971002165757417e-09,5.697920798939376e-15
95,13.93386124429287,1.1331908356497532e+16,1.896966249544707e-09,5.697518430352921e-15
96,13.910726283738107,1.1275557526939206e+16,1.8875330968538187e-09,5.669186054209926e-15
97,13.907663246661594,1.1268110788559572e+16,1.886286509700892e-09,5.6654419426420234e-15
98,13.906103476423558,1.1264319995138942e+16,1.8856519292796863e-09,5.663535986937103e-15
99,13.835986263240775,1.10947871741534e+16,1.857272063375169e-09,5.5782973544201884e-15
100,13.815552742923568,1.1045704099314818e+16,1.8490555358968754e-09,5.5536190994684646e-15
101,13.794383685438351,1.0995007095492908e+16,1.8405688360244695e-09,5.528129384536788e-15
102,13.789749503059411,1.0983929597486902e+16,1.8387144581751514e-09,5.522559779924232e-15
103,13.78352231957006,1.096905592729414e+16,1.8362245994969041e-09,5.515081515241508e-15
104,13.75003807229431,1.088930873979916e+16,1.8228748865963977e-09,5.474985791182732e-15
105,13.703172201917274,1.077834189065898e+16,1.80429898913809e-09,5.4191932760789675e-15
106,13.630920696351913,1.0608749205032836e+16,1.7759091018674275e-09,5.333924544492909e-15
107,13.626145510744138,1.0597603735931388e+16,1.774043345627997e-09,5.328320765003815e-15
108,13.581436354183767,1.0493629286402634e+16,1.756637978820742e-09,5.276043926554429e-15
109,13.559634939630314,1.04431760986887e+16,1.748192093867887e-09,5.2506767988097566e-15
110,13.510124914109818,1.032920038688777e+16,1.7291125115281455e-09,5.193371471395416e-15
111,13.501968699769401,1.0310504115285776e+16,1.7259827477579533e-09,5.183971258414504e-15
112,13.480324006755474,1.026099797194676e+16,1.717695398433831e-09,5.159080290784325e-15
113,13.47730750956541,1.0254111191069104e+16,1.7165425484034624e-09,5.155617717690558e-15
114,13.466531461508632,1.0229534219679696e+16,1.712428353002738e-09,5.143260774530748e-15
115,13.429494644712062,1.0145363694727358e+16,1.698338171541864e-09,5.100941060840737e-15
116,13.413242710455801,1.010857549068346e+16,1.6921798106323684e-09,5.082444487804165e-15
117,13.38605864412237,1.0047240064459968e+16,1.6819122343524482e-09,5.0516059290770714e-15
118,13.308758979602711,9874185678014180.0,1.6529428569011122e-09,4.9645967047514134e-15
119,13.300292104789696,9855352144879168.0,1.6497901154922642e-09,4.9551274786714235e-15
120,13.235872735185579,9712842745718706.0,1.625933981825662e-09,4.883475828951746e-15
121,13.215097433997904,9667178056943562.0,1.6182896936195416e-09,4.860516288711241e-15
122,13.20375553447922,9642308754125110.0,1.6141265618140096e-09,4.848012365567801e-15
123,13.173683011585545,9576575495117052.0,1.6031227864667292e-09,4.81496264058738e-15
124,13.161014509094967,9548974047752052.0,1.5985022925090661e-09,4.8010850349697584e-15
125,13.154274235448296,9534310343588972.0,1.5960475822329526e-09,4.7937123381478255e-15
126,13.149410333841262,9523738083606656.0,1.5942777814423942e-09,4.788396759852913e-15
127,13.142861900162062,9509516644178674.0,1.5918971064699075e-09,4.78124642729656e-15
