particle_id,radius_km,mass_kg,mass_earth,mass_solar
0,198.83637863333564,3.292881815473711e+19,5.512298080059479e-06,1.6556130037777847e-11
1,198.78763204868844,3.2904605674963526e+19,5.508244900709336e-06,1.6543956355692298e-11
2,198.73532596551772,3.2878638392265572e+19,5.503897966607794e-06,1.6530900384261596e-11
3,198.6386637365143,3.2830686520919257e+19,5.495870803072332e-06,1.650679088194561e-11
4,198.61566093162403,3.281928223921482e+19,5.493961721493746e-06,1.6501056975250298e-11
5,198.56010248867602,3.279174848575243e+19,5.489352559523998e-06,1.6487213405140695e-11
6,198.3542823832968,3.268988198556744e+19,5.472300064328044e-06,1.6435996412911248e-11
7,198.3400242014933,3.2682833010802307e+19,5.471120062972342e-06,1.6432452291093813e-11
8,198.08107421142245,3.255498930405083e+19,5.449718972415059e-06,1.6368174337857146e-11
9,198.01833989108118,3.2524067596131344e+19,5.444542665436905e-06,1.6352627353604643e-11
10,197.99680180495275,3.2513456003596108e+19,5.442766280360359e-06,1.634729199947515e-11
11,197.9933016137869,3.25117317136283e+19,5.442477633490788e-06,1.6346425051600016e-11
12,197.94146179604914,3.2486201137762996e+19,5.438203804297655e-06,1.6333588650002513e-11
13,197.87886591139093,3.2455391127286374e+19,5.433046195518656e-06,1.6318097825596996e-11
14,197.72310530366062,3.237880952970011e+19,5.420226403707151e-06,1.6279593714025757e-11
15,197.6036669584962,3.232016788847161e+19,5.410409768174214e-06,1.6250109551149173e-11
16,197.58957130408416,3.231325190213223e+19,5.409252029137206e-06,1.6246632293974736e-11
17,197.54278591505008,3.2290303877335667e+19,5.405410520084776e-06,1.6235094361430157e-11
18,197.47975296874506,3.2259403681216913e+19,5.400237814191159e-06,1.6219558192997664e-11
19,197.4368402627015,3.223837817117214e+19,5.3967181349209385e-06,1.6208986872861724e-11
20,197.29220769653634,3.2167581284758962e+19,5.384866706205347e-06,1.6173391229792532e-11
21,197.17561259518217,3.2110584107216028e+19,5.375325354588586e-06,1.614473387929933e-11
22,197.1387720605686,3.2092588726514246e+19,5.372312920251397e-06,1.613568606405197e-11
23,196.85785974698175,3.195559340334766e+19,5.349379845237296e-06,1.6066806811409038e-11
24,196.84099267495492,3.194738009986785e+19,5.348004934762527e-06,1.606267728207663e-11
25,196.74893295888938,3.190257706233976e+19,5.3405048873394345e-06,1.6040150967529998e-11
26,196.69094856238465,3.1874379096602595e+19,5.335784535954087e-06,1.6025973441165355e-11
27,196.59086483350822,3.182574721341218e+19,5.327643538148442e-06,1.6001522038801048e-11
28,196.52358647616066,3.1793083671613452e+19,5.322175647442526e-06,1.5985099285850338e-11
29,196.5123115189603,3.1787611884253237e+19,5.321259667925179e-06,1.5982348150882507e-11
30,196.45966235844256,3.1762069320694977e+19,5.316983831987176e-06,1.5969505722047633e-11
31,196.3838150042887,3.1725296291465605e+19,5.310828011348047e-06,1.5951016778686728e-11
32,196.3586578994176,3.171310565798431e+19,5.308787294149578e-06,1.5944887505774146e-11
33,196.3470973532775,3.170750469430571e+19,5.307849690461922e-06,1.5942071422835363e-11
34,196.30407691766962,3.1686667536575558e+19,5.304361541448797e-06,1.5931594803499165e-11
35,196.23656456195786,3.1653986005464433e+19,5.298890639324381e-06,1.5915163005784262e-11
36,196.14965814457574,3.161194924623852e+19,5.291853668058542e-06,1.5894027535666853e-11
37,196.13854429650996,3.1606576147478786e+19,5.290954209054636e-06,1.5891326019889583e-11
38,196.1280587601157,3.1601507370373796e+19,5.290105693624389e-06,1.588877751260674e-11
39,196.10824309705848,3.159192982863802e+19,5.2885024090888275e-06,1.5883962064154426e-11
40,196.04258744032302,3.156021018460816e+19,5.283192527268462e-06,1.586801388925053e-11
