particle_id,radius_km,mass_kg,mass_earth,mass_solar
0,139.12019395247785,1.1278702274741275e+19,1.8880595289653557e-06,5.670767187589885e-12
1,138.5566595001479,1.1142196727605977e+19,1.865208442665949e-06,5.602134187200077e-12
2,137.9796678801798,1.1003577207781437e+19,1.842003476444662e-06,5.5324383121399745e-12
3,137.9417643855239,1.0994511535821906e+19,1.8404858791260414e-06,5.5278802243538736e-12
4,137.9187182007432,1.0989001836529764e+19,1.8395635531352616e-06,5.525110027819e-12
5,137.8495581654399,1.0972478654117552e+19,1.836797565414132e-06,5.516802412423603e-12
6,137.2786148455568,1.0836705589572305e+19,1.8140690970099634e-06,5.448537693608745e-12
7,136.9249264199719,1.0753161240437365e+19,1.8000837376456431e-06,5.4065328119971465e-12
8,136.35547399619495,1.0619555561669396e+19,1.7777180905368731e-06,5.339357823175089e-12
9,135.82252592189502,1.0495521386825392e+19,1.7569547172314145e-06,5.276995247081528e-12
10,135.81691762575005,1.0494221317607655e+19,1.7567370850947493e-06,5.276341591219182e-12
11,135.41707103714276,1.040180858687709e+19,1.7412671549021327e-06,5.229877816542189e-12
12,135.0406720148642,1.0315312297125319e+19,1.7267876394305954e-06,5.1863887421944165e-12
13,134.97822432071163,1.0301008392589457e+19,1.7243931597641868e-06,5.179196947383232e-12
14,134.97042093014394,1.0299221923436046e+19,1.7240941040726597e-06,5.178298736719449e-12
15,134.89543656394585,1.0282065905405598e+19,1.7212221794015004e-06,5.169672940794802e-12
16,134.666441602327,1.0229791048642462e+19,1.7124713462796817e-06,5.14338990439156e-12
17,134.43718497977608,1.0177634244934783e+19,1.7037402752892545e-06,5.117166223344722e-12
18,134.26398200359975,1.0138347650066092e+19,1.6971636826994715e-06,5.097413495799777e-12
19,133.9617508652627,1.0070036728466315e+19,1.6857284055446073e-06,5.0630677596214604e-12
20,133.38753843145514,9.941098647929463e+18,1.6641441163529953e-06,4.99823957118912e-12
21,133.38021967049647,9.939462381148508e+18,1.663870204602117e-06,4.997416880089952e-12
22,133.09058291110532,9.87485189878123e+18,1.653054382539167e-06,4.9649316708471075e-12
23,132.76616368775564,9.802815492279093e+18,1.6409954576366655e-06,4.9287128151353965e-12
24,132.6876615216732,9.785437103792155e+18,1.6380863080570806e-06,4.919975214584878e-12
25,132.57958414152634,9.76154513375751e+18,1.634086782172734e-06,4.907962680126657e-12
26,132.42896001708465,9.728312542389594e+18,1.6285236323283656e-06,4.891253817342877e-12
27,132.1117540668178,9.658573424589234e+18,1.6168492745257408e-06,4.856190004921885e-12
28,132.08747526478908,9.653249397939917e+18,1.6159580302138647e-06,4.853513161886812e-12
29,131.69565015620347,9.567597601918153e+18,1.6016198833497478e-06,4.810448686683302e-12
30,131.67670729656797,9.563469638908752e+18,1.6009288605968402e-06,4.808373207021274e-12
31,131.08164949736184,9.434400372582105e+18,1.5793226108485569e-06,4.743479060285032e-12
32,130.87323119452284,9.389470125330788e+18,1.571801268464017e-06,4.720888786542842e-12
33,130.8666604779921,9.38805595265717e+18,1.571564535360599e-06,4.720177761125219e-12
34,130.76009848337986,9.36514112685709e+18,1.5677285838342149e-06,4.708656520552405e-12
35,130.72038884427988,9.35661161087205e+18,1.5663007392523891e-06,4.7043680041791775e-12
36,130.57747128575193,9.325956195096938e+18,1.5611690096917804e-06,4.688954907737334e-12
37,129.79408370979783,9.159110526590473e+18,1.5332389742482788e-06,4.605067336338552e-12
38,129.78516236566284,9.157222013069073e+18,1.5329228362864102e-06,4.604117819253199e-12
39,129.73096071177338,9.145753922690088e+18,1.5310030731087288e-06,4.598351830485936e-12
40,129.6012884236281,9.118356473107836e+18,1.5264167284661396e-06,4.584576791981495e-12
41,129.50281992238845,9.097588418373853e+18,1.5229401473237876e-06,4.57413491662503e-12
42,129.41815750563322,9.079757446071835e+18,1.5199552350222242e-06,4.565169763525851e-12
43,129.39750760256598,9.075411853470042e+18,1.5192277809835456e-06,4.5629848628753506e-12
44,129.2427013974801,9.042878384458864e+18,1.5137816645172553e-06,4.546627508627227e-12
45,128.9207674660896,8.975471162846314e+18,1.5024976671223002e-06,4.512736139636745e-12
46,128.81078505654028,8.95251980898215e+18,1.4986556007825462e-06,4.501196533285477e-12
47,128.54241309969117,8.896679694205738e+18,1.48930794196206e-06,4.473120937094372e-12
48,128.51491775774892,8.890971891053806e+18,1.4883524533014008e-06,4.470251136824913e-12
49,128.5148651531004,8.890960973108994e+18,1.4883506256328238e-06,4.4702456474413225e-12
50,128.47159240016103,8.881982864026803e+18,1.486847686376888e-06,4.46573158499427e-12
51,128.13089587470293,8.81150713789582e+18,1.4750500200283091e-06,4.430297416636074e-12
52,127.86431099230295,8.756622700714196e+18,1.4658623420412117e-06,4.402702321216638e-12
53,127.83888188027024,8.75139929967439e+18,1.464987942498908e-06,4.400076071272042e-12
54,127.39007939924983,8.659552193953748e+18,1.4496126981720758e-06,4.353896684609611e-12
55,126.96938307109605,8.574042611203751e+18,1.4352983578697746e-06,4.310903712167282e-12
56,126.4999625201273,8.479296072066673e+18,1.4194377471632691e-06,4.263266532624074e-12
57,126.46739990266082,8.472749737947023e+18,1.4183418880641178e-06,4.259975131200362e-12
58,126.34584967266107,8.448343246439391e+18,1.4142562310676744e-06,4.247703902841437e-12
59,126.19459486069806,8.418037777689895e+18,1.4091830827870971e-06,4.2324667546657964e-12
60,126.10054977225195,8.399231458737067e+18,1.4060348970438518e-06,4.223011211480134e-12
61,125.56400435230438,8.292473287587588e+18,1.388163534060444e-06,4.1693347583550814e-12
62,125.490062040564,8.277832062078189e+18,1.3857125867204598e-06,4.1619733634727335e-12
63,125.46083102735741,8.272048821820299e+18,1.3847444698563718e-06,4.1590656345254204e-12
64,125.18588598901407,8.217783800890779e+18,1.3756604824117404e-06,4.131781972573446e-12
65,124.97786323217964,8.176885094228083e+18,1.3688140216261059e-06,4.111218698704866e-12
66,124.95670167889763,8.172732207757351e+18,1.368118826675235e-06,4.109130687889584e-12
67,124.19613823905122,8.0244058439245e+18,1.3432889306633005e-06,4.034554353078304e-12
68,124.15072279014275,8.015606083691478e+18,1.341815847080114e-06,4.030129961834301e-12
69,123.88099177333704,7.963475166702401e+18,1.3330891095373246e-06,4.003919296252439e-12
70,123.7069056980487,7.929949856712189e+18,1.3274769584718343e-06,3.987063258809902e-12
71,123.54830608255659,7.899488939824334e+18,1.3223777881071786e-06,3.971747953574972e-12
72,123.39435568607885,7.869995665470271e+18,1.3174406015117594e-06,3.9569191649087305e-12
73,123.3285271779831,7.857406911164829e+18,1.3153332387190181e-06,3.9505897226458725e-12
74,122.94199857836307,7.783759626763855e+18,1.3030046521752378e-06,3.91356094099504e-12
75,122.93983712291157,7.783349092835192e+18,1.3029359286220226e-06,3.9133545305166584e-12
76,122.930809998263,7.781634690771657e+18,1.302648936991808e-06,3.91249255413574e-12
77,122.8782695824016,7.77166138288293e+18,1.3009794010349285e-06,3.907478120227526e-12
78,122.72334214099921,7.742302420405981e+18,1.2960646983045198e-06,3.8927168616163455e-12
79,122.67513286461103,7.733181803588017e+18,1.2945379031933692e-06,3.8881311483559e-12
80,122.65092227928221,7.728604154324529e+18,1.2937716027714184e-06,3.885829572996667e-12
81,122.65050128271491,7.728524569811257e+18,1.2937582802902518e-06,3.885789559062837e-12
82,122.47212533520516,7.694853799999167e+18,1.2881217791890846e-06,3.868860386541021e-12
83,122.27687917591395,7.658110823714697e+18,1.281970989425638e-06,3.85038655336298e-12
84,122.27045453164742,7.656903774931213e+18,1.2817689289489919e-06,3.849779666819788e-12
85,122.06079868969108,7.617583640610821e+18,1.2751867218408148e-06,3.830010076127155e-12
86,121.75748844120884,7.560937577295057e+18,1.2657041468941189e-06,3.801529260752095e-12
87,121.73725184030712,7.557168226044885e+18,1.2650731559013128e-06,3.7996340858580965e-12
88,121.62634135419276,7.536531835918061e+18,1.2616186154698612e-06,3.789258409547926e-12
89,121.5743605478451,7.52687305001653e+18,1.2600017306266059e-06,3.7844021127126936e-12
90,121.40944142286796,7.496283322557364e+18,1.2548809973178568e-06,3.769022043399114e-12
91,121.2230706075115,7.461814547288036e+18,1.249110909765784e-06,3.751691645359309e-12
92,120.69938122932682,7.365525549360452e+18,1.2329920908056592e-06,3.703278940007869e-12
93,120.50679740811519,7.330325228577008e+18,1.2270995422252558e-06,3.685580731541242e-12
94,120.47776858672084,7.325029109566211e+18,1.226212969663866e-06,3.6829179200602396e-12
95,120.47028447457662,7.323664095891593e+18,1.225984465797663e-06,3.682231611071131e-12
96,120.43515410919373,7.31725899829357e+18,1.224912249751941e-06,3.679011221312858e-12
97,120.34010471183053,7.299947965476472e+18,1.2220143755399626e-06,3.67030748621185e-12
98,120.29625314410583,7.291970636665671e+18,1.2206789673245465e-06,3.666296601505174e-12
99,120.22204667605929,7.278484489385958e+18,1.2184213805685316e-06,3.659515963128712e-12
100,120.05469421520809,7.248131217581617e+18,1.2133402300363639e-06,3.644254780273524e-12
101,119.90113194129587,7.220353467600743e+18,1.20869022294627e-06,3.630288532269143e-12
102,119.81182961109664,7.204232328734985e+18,1.2059915374847844e-06,3.6221830585116473e-12
103,119.67280573002765,7.179183083711338e+18,1.2017982832780304e-06,3.6095886630489606e-12
104,119.62408723574585,7.170418771187527e+18,1.2003311336563518e-06,3.605182094396721e-12
105,119.31425020972083,7.114846888973338e+18,1.1910283770801793e-06,3.5772413616301e-12
106,119.04263346196461,7.066366956865828e+18,1.1829128159500511e-06,3.5528663580565472e-12
107,118.83237536070109,7.028990308154738e+18,1.1766559491544976e-06,3.5340739236141917e-12
108,118.227081313203,6.922126218881265e+18,1.1587668554323554e-06,3.480344216399486e-12
109,118.07757781829909,6.895899386243001e+18,1.1543764725610788e-06,3.467157747040103e-12
110,117.95859122145266,6.875073424446991e+18,1.1508901977520625e-06,3.4566867568564807e-12
111,117.77537871875434,6.843088199630329e+18,1.1455358575957094e-06,3.4406050518021485e-12
112,117.76104330812187,6.840589718016069e+18,1.1451176107172264e-06,3.439348851646154e-12
113,117.22247131437909,6.747163409441099e+18,1.1294780071649572e-06,3.3923754647955166e-12
114,117.18692762936271,6.741027734119885e+18,1.1284508925222736e-06,3.389290536632889e-12
115,116.88564203533251,6.689168090894393e+18,1.1197695663221918e-06,3.3632162635472488e-12
116,116.8348750203275,6.680455944089958e+18,1.1183111492639904e-06,3.3588359230587246e-12
117,116.66437109172989,6.651251072207958e+18,1.1134222413643191e-06,3.344152138953783e-12
118,116.43530895901263,6.612150180000045e+18,1.1068767354784577e-06,3.3244927800012294e-12
119,116.15754743717247,6.564942255569608e+18,1.0989741089712244e-06,3.3007573233561973e-12
120,115.8750638612517,6.517162783724206e+18,1.0909758051850992e-06,3.27673450099763e-12
121,115.70393403729122,6.48833083506643e+18,1.0861493247908197e-06,3.2622382172568183e-12
122,115.43319338648763,6.44289034955633e+18,1.0785425683060518e-06,3.2393914031516256e-12
123,115.33265002530615,6.42606956087037e+18,1.0757267611688811e-06,3.230934155657528e-12
124,115.28115760505811,6.417466286016588e+18,1.0742865693212454e-06,3.2266085543996684e-12
125,115.15381086528518,6.396222372945612e+18,1.0707303292921071e-06,3.2159274244040044e-12
126,114.69516422896817,6.320099739361667e+18,1.057987368248621e-06,3.17765407324662e-12
127,114.28473065496067,6.252493322250496e+18,1.0466700254429852e-06,3.1436625516614527e-12
128,114.20205144892992,6.23893305178755e+18,1.0444000304347606e-06,3.13684464522834e-12
129,114.16956305760469,6.233609979944634e+18,1.0435089459578797e-06,3.1341682822560158e-12
130,114.11378653756316,6.224478319195256e+18,1.0419803020879413e-06,3.1295770162677515e-12
131,113.70386096227269,6.157639297893276e+18,1.0307914216651875e-06,3.0959713301154777e-12
132,113.69727804561488,6.156569865090971e+18,1.0306123981619692e-06,3.095433634882736e-12
133,113.45740092580017,6.117684853421974e+18,1.0241030307695877e-06,3.075882817520048e-12
134,113.40601095908116,6.109375693165236e+18,1.0227120738298372e-06,3.071705092796712e-12
135,112.77343395552757,6.007710878669249e+18,1.0056933409034866e-06,3.020589505193396e-12
136,112.49356150217729,5.963093363068913e+18,9.98224349929531e-07,2.998156468369222e-12
137,112.17812249801041,5.913071227129989e+18,9.898506232260436e-07,2.973006067177156e-12
138,111.98977091228929,5.883336354880817e+18,9.848729930408453e-07,2.958055806609023e-12
139,111.68456001523288,5.83536494623301e+18,9.768425589528544e-07,2.9339364812224778e-12
140,111.62437002649024,5.825935496999283e+18,9.752640651647432e-07,2.929195491522677e-12
141,111.45454858059638,5.799385801045897e+18,9.708196348380217e-07,2.9158466911921534e-12
142,111.44846801857838,5.798436671512962e+18,9.706607501529553e-07,2.915369482690587e-12
143,111.42916099329153,5.795423677995578e+18,9.701563737643749e-07,2.9138545934454774e-12
144,111.18819894070216,5.757907658540528e+18,9.63876176247362e-07,2.89499208542351e-12
145,111.12501144275831,5.748096696762788e+18,9.622338170980953e-07,2.890059276774726e-12
146,111.04419526285096,5.735564825107378e+18,9.601359764850174e-07,2.883758434279598e-12
147,111.01458208496452,5.730977381070541e+18,9.593680364138672e-07,2.881451934251021e-12
148,110.95793968342842,5.722209594440211e+18,9.579003052252887e-07,2.877043618868638e-12
149,110.76464651095662,5.692356705312385e+18,9.52902918964711e-07,2.862034021133271e-12
150,110.25795026421079,5.614593943765888e+18,9.398853998069148e-07,2.8229360375308652e-12
151,110.02425111568613,5.578968032525509e+18,9.339216072040982e-07,2.805023848382795e-12
152,110.0228143228271,5.578749470253879e+18,9.338850197874282e-07,2.8049139584567903e-12
153,109.9249719933196,5.56387930221684e+18,9.313957473715295e-07,2.797437454606943e-12
154,109.61006459049516,5.516198810785519e+18,9.234140129485662e-07,2.7734643981585577e-12
155,109.50815255645246,5.500826741086665e+18,9.208407219822961e-07,2.76573554546521e-12
156,109.47305130394707,5.495538805358354e+18,9.199555193058543e-07,2.7630768484194208e-12
157,109.35196795143064,5.477323841880829e+18,9.169063267191755e-07,2.7539186301514535e-12
158,109.07837400402884,5.436314526740092e+18,9.100413500275562e-07,2.7332997439515378e-12
159,108.89362304484146,5.4087380940407e+18,9.05425043535491e-07,2.7194347153433523e-12
160,108.74998218133199,5.387362422591007e+18,9.018467470980534e-07,2.708687339154419e-12
161,108.60938935862103,5.366494951374298e+18,8.983535235944637e-07,2.698195478638808e-12
162,108.46090715094829,5.344515079549267e+18,8.946740837587634e-07,2.6871443193035753e-12
163,108.38229710388596,5.332902743903317e+18,8.927301738624112e-07,2.68130580611755e-12
164,108.29033048142809,5.31933872970078e+18,8.904595521505964e-07,2.6744860173867124e-12
165,108.18462255014656,5.303776465319754e+18,8.878544225141243e-07,2.6666615375780595e-12
166,108.17310440395431,5.302082606227082e+18,8.875708697859167e-07,2.6658098899036074e-12
167,107.81565855791634,5.249695689578518e+18,8.78801277791903e-07,2.6394705114225397e-12
168,107.74145677774408,5.238864181186177e+18,8.769880787079067e-07,2.6340245868039828e-12
169,107.5525039026538,5.211349329038431e+18,8.723820808262208e-07,2.6201905200000158e-12
170,107.45863144256391,5.197715746095009e+18,8.700998132777711e-07,2.6133357531197882e-12
171,107.19628283006055,5.159739631275686e+18,8.637425956022696e-07,2.594241915851661e-12
172,106.86125842812216,5.11151291043591e+18,8.556694221454075e-07,2.5699942232145634e-12
173,106.7819061577369,5.10013435173366e+18,8.537646466082618e-07,2.5642732496700016e-12
174,106.75308356426832,5.096005578520478e+18,8.53073488226899e-07,2.562197362649316e-12
175,106.71900614596142,5.091126938605331e+18,8.522568018426142e-07,2.559744453575474e-12
176,106.71170528364867,5.090082127319675e+18,8.520818999916918e-07,2.5592191376825993e-12
177,106.66915318834658,5.083995429454703e+18,8.510629841958887e-07,2.5561588346714313e-12
178,106.62589811437013,5.077813151933027e+18,8.500280683251464e-07,2.553050475601345e-12
179,106.61873709592103,5.076790139543201e+18,8.498568156186017e-07,2.552536119875712e-12
180,106.29204029461108,5.030264710452502e+18,8.420684391197715e-07,2.529143811944423e-12
181,106.08772773498963,5.001313191402609e+18,8.372219425913022e-07,2.514587409952441e-12
182,106.00784806562115,4.990024350023484e+18,8.353321857719768e-07,2.508911544970881e-12
183,105.985824939026,4.986914963953994e+18,8.348116732294229e-07,2.507348190954887e-12
184,105.95298979990976,4.982281457852172e+18,8.340360223491212e-07,2.505018531591101e-12
185,105.90999492704756,4.976218609292552e+18,8.330210989371167e-07,2.5019702196632102e-12
186,105.74561044264864,4.953083565124272e+18,8.291482827627968e-07,2.4903382565031638e-12
187,105.62296077729482,4.935868958123052e+18,8.262665502731614e-07,2.4816830028975786e-12
188,105.27180978184458,4.886803506601198e+18,8.180529729455384e-07,2.457013608692757e-12
189,105.17882241841359,4.873865293372407e+18,8.158871105812919e-07,2.4505084635744056e-12
190,104.99880924141773,4.848883289948654e+18,8.117051126467871e-07,2.4379478762085223e-12
191,104.96885721916101,4.844734887627355e+18,8.11010668344427e-07,2.4358621199582462e-12
192,104.84889282680443,4.828143346427503e+18,8.082332373333472e-07,2.4275201347603235e-12
193,104.79354727602444,4.820501628401775e+18,8.069540105052347e-07,2.4236779902669665e-12
194,104.78179502255801,4.818879999817581e+18,8.066825491946824e-07,2.422862659039871e-12
195,104.3025457008875,4.753060412403952e+18,7.956643224358135e-07,2.389769529394823e-12
196,104.062055210884,4.720258750350904e+18,7.901733103409333e-07,2.3732773315924746e-12
197,103.98162302485989,4.709321987030896e+18,7.88342491537548e-07,2.3677784863297145e-12
198,103.69270429254458,4.670175618677745e+18,7.817893729257483e-07,2.348096262633864e-12
199,103.65915536314279,4.665644093350475e+18,7.810307936702199e-07,2.345817877717794e-12
200,103.09867614447374,4.590371931690503e+18,7.684302019863516e-07,2.307972131453504e-12
201,103.06823608781248,4.586307187065763e+18,7.677497620177625e-07,2.305928437074273e-12
202,102.98172824548813,4.574768657543435e+18,7.658182072977068e-07,2.3001270325319445e-12
203,102.89382761145589,4.563064194996426e+18,7.638588753191699e-07,2.294242199282237e-12
204,102.66628238803433,4.5328580393268296e+18,7.588023520901532e-07,2.2790549842763056e-12
205,102.54172268449416,4.5163795995644636e+18,7.560438543075232e-07,2.270769864833409e-12
206,102.37029204675486,4.4937658144201564e+18,7.522582971141835e-07,2.259399983116544e-12
207,102.34005155159589,4.489784574516067e+18,7.515918358711336e-07,2.2573982736943e-12
208,102.3191258515762,4.487031028631779e+18,7.511308911260174e-07,2.2560138309392933e-12
