particle_id,radius_km,mass_kg,mass_earth,mass_solar
0,199.67681666590101,3.3348134339905892e+19,5.582491786726453e-06,1.6766956106784533e-11
1,199.66698200876084,3.33432071081937e+19,5.581666966054801e-06,1.6764478766463057e-11
2,199.6607474652031,3.3340083809828614e+19,5.581144124588082e-06,1.676290841754752e-11
3,199.6463102685585,3.3332852004655927e+19,5.579933517344863e-06,1.6759272371264772e-11
4,199.6450077816454,3.3332199621145117e+19,5.5798243080693525e-06,1.675894436233992e-11
5,199.64371283281608,3.333155102171273e+19,5.579715732250169e-06,1.6758618255994576e-11
6,199.64257256799215,3.333097990563485e+19,5.579620127177287e-06,1.6758331107151043e-11
7,199.63437866822184,3.3326876079041278e+19,5.578933144870594e-06,1.6756267762927257e-11
8,199.6149525122688,3.3317148043726e+19,5.5773046676462015e-06,1.6751376648495667e-11
9,199.61049060470936,3.3314913921833136e+19,5.5769306746968405e-06,1.675025336455621e-11
10,199.5829642736439,3.330113342021606e+19,5.57462381290031e-06,1.6743324729107285e-11
11,199.5753681988449,3.3297331267954962e+19,5.573987331004408e-06,1.674141306234286e-11
12,199.56756921472638,3.3293427852233847e+19,5.5733338975624884e-06,1.6739450481786017e-11
13,199.56455238833894,3.329191800310753e+19,5.573081148180441e-06,1.673869135164186e-11
14,199.56308160338244,3.3291181927125393e+19,5.572957928749848e-06,1.673832126336172e-11
15,199.55015956193142,3.3284715367662977e+19,5.571875423962043e-06,1.673506997147345e-11
16,199.53377042099658,3.327651497698284e+19,5.570502675095399e-06,1.67309469345086e-11
17,199.53217662750998,3.3275717586108793e+19,5.570369191525979e-06,1.6730546017994085e-11
18,199.50510261694703,3.32621741329918e+19,5.568102011748576e-06,1.672373656707751e-11
19,199.50279974849917,3.326102231993818e+19,5.567909197756461e-06,1.672315745225458e-11
20,199.50276746247513,3.326100617180401e+19,5.567906494551975e-06,1.6723149333207977e-11
21,199.4999878267359,3.325961593254283e+19,5.567673767911917e-06,1.6722450341161448e-11
22,199.49682864636537,3.325803591046282e+19,5.567409271547755e-06,1.6721655929078505e-11
23,199.48857066173966,3.3253906025552798e+19,5.56671792706787e-06,1.6719579483112844e-11
24,199.4884404447737,3.325384090573302e+19,5.56670702598251e-06,1.6719546741816172e-11
25,199.48583410007666,3.3252537524353987e+19,5.566488839388643e-06,1.671889142064738e-11
26,199.48473154795252,3.3251986170117534e+19,5.5663965424563705e-06,1.6718614207769814e-11
27,199.48002062684566,3.3249630444197954e+19,5.566002192941529e-06,1.6717429783097337e-11
28,199.47969262857595,3.3249466430730023e+19,5.565974737017659e-06,1.6717347319515125e-11
